id,condition,action_response,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,why_action,age,gender,first_language
25,nogoal,button,chrome,827,944,1920,1080,FALSE,i really have no idea,i wanted to see what the button would do,39,f,english
26,nogoal,handle,chrome,1176,579,1366,768,FALSE,not sure,it seems likely to do something,42,m,english
27,nogoal,button,chrome,1299,600,1366,768,FALSE,choices,i like button pressing (gamer),28,m,english
28,nogoal,button,firefox,1211,1300,2560,1440,FALSE,no idea,it felt like the most logical choice overall,30,male,english
29,nogoal,both,chrome,1316,600,1366,768,FALSE,toy box game action decision,maybe that action is the right one to operate it,29,m,spanish
30,nogoal,button,chrome,1299,637,1366,768,FALSE,psychological preferences,drew me to it,34,female,english
31,nogoal,button,chrome,1222,600,1280,800,FALSE,to see the rationale of individuals when utilizing a multi-faceted foreign object for the first time.,"i pushed the button because i think buttons require so little effort and are so easily pushed compared to the lever that requires a little bit more work to pull, so the button must be the obvious choice to utilize.",20,m,english
32,nogoal,button,safari,1334,600,1440,900,FALSE,"how people make choices about exploring new things, maybe",i'd want to see what happened when i pushed the button - and the button was red so it called my attention.,46,m,english
33,nogoal,button,chrome,1870,600,1920,1080,FALSE,actions users would perform on a toybox,because i believe something exciting would happen if i pressed the red button,32,f,english
34,nogoal,handle,chrome,1870,600,1920,1080,FALSE,trying out a fun looking toy box things.,pulling on things is fun,38,male,english
35,nogoal,button,chrome,1299,637,1366,768,FALSE,?,it was easy,25,female,english
36,nogoal,both,chrome,1533,600,1600,900,FALSE,about choices and impulse,to get the most out of it,23,m,english
37,nogoal,both,chrome,910,929,1920,1080,FALSE,unknown,it seemed to give the highest chance of success,30,f,english
38,nogoal,button,chrome,1636,796,1366,768,FALSE,no idea.,"man, you only gave me three options, so i had to choose one of them.",32,o,english
39,nogoal,both,chrome,1477,917,1536,864,FALSE,i don't know ,curiosity ,57,f,english 
40,nogoal,both,chrome,806,148,1920,1080,FALSE,i don't know,because it would be the most interesting,23,m,english
41,nogoal,handle,firefox,1470,600,1536,864,FALSE,i think the task is attempting to evaluate what catches people's attention.,it looked cool.,25,m,english
42,nogoal,button,chrome,717,742,1600,900,FALSE,what was most appealing,"common action, curiosity, easy",30,f,english
43,nogoal,button,chrome,1853,949,1920,1080,FALSE,"see if, when presented multiple choices, what our minds will lead us to do first",i think the button will do a more exciting action than the other,25,m,english
44,nogoal,both,chrome,1469,759,1536,864,FALSE,learning how a toy works.,i felt like it would have the greatest chance of causing a reaction.,34,m,english
45,nogoal,handle,firefox,1870,600,1920,1080,FALSE,if people prefer buttons or levels,it seemed like the most fun,24,m,english
46,nogoal,button,chrome,1299,600,1366,768,FALSE,choices in gaming,so i can see what it does,23,f,english
47,nogoal,handle,chrome,1308,600,1440,900,FALSE,i have no idea.,the handle caught my eye first so i was most intrigued by it.,34,f,english
48,nogoal,both,chrome,1299,675,1366,768,FALSE,decision making,gut feeling just wanted to do both,31,m,english
49,nogoal,button,chrome,1226,642,1366,768,FALSE,not sure,it's the one that stood out most to me,20,female,english
50,nogoal,both,firefox,1299,600,1366,768,FALSE,interacting with new things,i wanted to get the most out of the toy and they seemed like they work together.,30,f,english
51,nogoal,both,chrome,1316,654,1366,768,FALSE,thinking skills,just thinking about what they may do.,32,f,english
