id,condition,slider_value,hypothesis,hypothesis_type,slider_value_normalized,outcome,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,why_action,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,social_condition,action_response
12,learning,11,both,prior,0.079,light,chrome,1222,743,1536,864,FALSE,figuring out how people make decisions,because that's what seemed like the most likely ,,27,f,english,181.066,25.999,3,no-social,handle
12,learning,28,handle,prior,0.201,light,chrome,1222,743,1536,864,FALSE,figuring out how people make decisions,because that's what seemed like the most likely ,,27,f,english,181.066,25.999,3,no-social,handle
12,learning,100,button,prior,0.719,light,chrome,1222,743,1536,864,FALSE,figuring out how people make decisions,because that's what seemed like the most likely ,,27,f,english,181.066,25.999,3,no-social,handle
13,presentation,96,handle,prior,0.505,light,chrome,1853,989,1920,1080,FALSE,not really sure.,because it had the best chance to make the device do something,no,33,m,english,125.638,16.518,3,social,both
13,presentation,8,both,prior,0.042,light,chrome,1853,989,1920,1080,FALSE,not really sure.,because it had the best chance to make the device do something,no,33,m,english,125.638,16.518,3,social,both
13,presentation,86,button,prior,0.453,light,chrome,1853,989,1920,1080,FALSE,not really sure.,because it had the best chance to make the device do something,no,33,m,english,125.638,16.518,3,social,both
14,performance,24,both,prior,0.183,music,firefox,1278,680,1344,840,FALSE,not sure,because two of the options were similar,no,66,f,english,225.781,22.717,3,no-social,handle
14,performance,53,handle,prior,0.405,music,firefox,1278,680,1344,840,FALSE,not sure,because two of the options were similar,no,66,f,english,225.781,22.717,3,no-social,handle
14,performance,54,button,prior,0.412,music,firefox,1278,680,1344,840,FALSE,not sure,because two of the options were similar,no,66,f,english,225.781,22.717,3,no-social,handle
15,presentation,1,handle,prior,0.005,light,chrome,2831,600,1920,1080,FALSE,following instructions.,i know i would't figure it out. ,n/a,27,m,english,301.588,48.98,3,social,both
15,presentation,99,button,prior,0.495,light,chrome,2831,600,1920,1080,FALSE,following instructions.,i know i would't figure it out. ,n/a,27,m,english,301.588,48.98,3,social,both
15,presentation,100,both,prior,0.5,light,chrome,2831,600,1920,1080,FALSE,following instructions.,i know i would't figure it out. ,n/a,27,m,english,301.588,48.98,3,social,both
16,performance,74,button,prior,0.411,light,chrome,831,811,1366,768,FALSE,ow people make choices.,the odds were better with trying both instead of just one.,"great format, simple and fun.",26,f,english,206.428,9.93,3,no-social,both
16,performance,70,handle,prior,0.389,light,chrome,831,811,1366,768,FALSE,ow people make choices.,the odds were better with trying both instead of just one.,"great format, simple and fun.",26,f,english,206.428,9.93,3,no-social,both
16,performance,36,both,prior,0.2,light,chrome,831,811,1366,768,FALSE,ow people make choices.,the odds were better with trying both instead of just one.,"great format, simple and fun.",26,f,english,206.428,9.93,3,no-social,both
17,performance,30,both,prior,0.33,light,firefox,1853,947,1920,1080,FALSE,testing deductive skills,it was garunteed to make the light work,no,31,f,english,214.469,20.94,3,social,both
17,performance,32,button,prior,0.352,light,firefox,1853,947,1920,1080,FALSE,testing deductive skills,it was garunteed to make the light work,no,31,f,english,214.469,20.94,3,social,both
17,performance,29,handle,prior,0.319,light,firefox,1853,947,1920,1080,FALSE,testing deductive skills,it was garunteed to make the light work,no,31,f,english,214.469,20.94,3,social,both
18,performance,73,both,prior,0.507,music,chrome,1213,669,1280,800,FALSE,about automatisms,i thought it was the right move,nothing wrong,29,female,english,310.55,25.387,1,no-social,handle
18,performance,35,button,prior,0.243,music,chrome,1213,669,1280,800,FALSE,about automatisms,i thought it was the right move,nothing wrong,29,female,english,310.55,25.387,1,no-social,handle
18,performance,36,handle,prior,0.25,music,chrome,1213,669,1280,800,FALSE,about automatisms,i thought it was the right move,nothing wrong,29,female,english,310.55,25.387,1,no-social,handle
19,learning,59,both,prior,0.304,music,chrome,1299,637,1366,768,FALSE,i am not sure what this task is looking for.,i took an approach i thought was logical.,everything looks just fine so far.,66,m,english,386.248,85.414,1,social,both
19,learning,72,button,prior,0.371,music,chrome,1299,637,1366,768,FALSE,i am not sure what this task is looking for.,i took an approach i thought was logical.,everything looks just fine so far.,66,m,english,386.248,85.414,1,social,both
19,learning,63,handle,prior,0.325,music,chrome,1299,637,1366,768,FALSE,i am not sure what this task is looking for.,i took an approach i thought was logical.,everything looks just fine so far.,66,m,english,386.248,85.414,1,social,both
20,nogoal,57,button,prior,0.285,music,chrome,1299,600,1366,768,FALSE,drawing a conclusion from the information given,i just took a guess.,none at this time,53,female,english,399.275,93.053,3,no-social,handle
20,nogoal,86,both,prior,0.43,music,chrome,1299,600,1366,768,FALSE,drawing a conclusion from the information given,i just took a guess.,none at this time,53,female,english,399.275,93.053,3,no-social,handle
20,nogoal,57,handle,prior,0.285,music,chrome,1299,600,1366,768,FALSE,drawing a conclusion from the information given,i just took a guess.,none at this time,53,female,english,399.275,93.053,3,no-social,handle
21,nogoal,66,button,prior,0.412,light,chrome,1299,600,1366,768,FALSE,perceptions of functionality,it would be able to do both actions.,no,33,f,english,143.779,26.56,3,social,both
21,nogoal,65,handle,prior,0.406,light,chrome,1299,600,1366,768,FALSE,perceptions of functionality,it would be able to do both actions.,no,33,f,english,143.779,26.56,3,social,both
21,nogoal,29,both,prior,0.181,light,chrome,1299,600,1366,768,FALSE,perceptions of functionality,it would be able to do both actions.,no,33,f,english,143.779,26.56,3,social,both
22,learning,84,handle,prior,0.393,light,chrome,1299,600,1366,768,FALSE,decisions,it was simple,no,50,f,english,160.554,12.931,3,social,both
22,learning,69,button,prior,0.322,light,chrome,1299,600,1366,768,FALSE,decisions,it was simple,no,50,f,english,160.554,12.931,3,social,both
22,learning,61,both,prior,0.285,light,chrome,1299,600,1366,768,FALSE,decisions,it was simple,no,50,f,english,160.554,12.931,3,social,both
23,nogoal,68,both,prior,0.352,light,chrome,961,600,1280,720,FALSE,opinion,i guessed it,good,36,m,english,221.576,29.828,3,social,both
23,nogoal,63,handle,prior,0.326,light,chrome,961,600,1280,720,FALSE,opinion,i guessed it,good,36,m,english,221.576,29.828,3,social,both
23,nogoal,62,button,prior,0.321,light,chrome,961,600,1280,720,FALSE,opinion,i guessed it,good,36,m,english,221.576,29.828,3,social,both
24,performance,50,button,prior,0.352,music,safari,1316,600,1366,768,FALSE,perceptions of how we intuitive think things work.,"pulling the handle seemed like it would do the effect of playing the music, because pushing the button for the light seemed more natural. i didn't think both at the same time was even an option.",no further comments.  thank you for the opportunity to participate in your study.,40,f,english,299.275,22.345,3,no-social,handle
24,performance,69,handle,prior,0.486,music,safari,1316,600,1366,768,FALSE,perceptions of how we intuitive think things work.,"pulling the handle seemed like it would do the effect of playing the music, because pushing the button for the light seemed more natural. i didn't think both at the same time was even an option.",no further comments.  thank you for the opportunity to participate in your study.,40,f,english,299.275,22.345,3,no-social,handle
24,performance,23,both,prior,0.162,music,safari,1316,600,1366,768,FALSE,perceptions of how we intuitive think things work.,"pulling the handle seemed like it would do the effect of playing the music, because pushing the button for the light seemed more natural. i didn't think both at the same time was even an option.",no further comments.  thank you for the opportunity to participate in your study.,40,f,english,299.275,22.345,3,no-social,handle
25,nogoal,96,button,prior,0.495,light,chrome,1449,717,1366,768,FALSE,probably not about making weird toys :d,because i still felt like not being able to perform only one action was silly; you should be able to turn on the light or play the music should you choose to do so.,"no, the survey worked just fine. thank you for allowing me to participate!",36,f,english,358.496,78.787,3,social,button
25,nogoal,95,handle,prior,0.49,light,chrome,1449,717,1366,768,FALSE,probably not about making weird toys :d,because i still felt like not being able to perform only one action was silly; you should be able to turn on the light or play the music should you choose to do so.,"no, the survey worked just fine. thank you for allowing me to participate!",36,f,english,358.496,78.787,3,social,button
25,nogoal,3,both,prior,0.015,light,chrome,1449,717,1366,768,FALSE,probably not about making weird toys :d,because i still felt like not being able to perform only one action was silly; you should be able to turn on the light or play the music should you choose to do so.,"no, the survey worked just fine. thank you for allowing me to participate!",36,f,english,358.496,78.787,3,social,button
26,performance,75,handle,prior,0.321,light,safari,1175,600,1280,800,FALSE,how well i would remember which actions did what in the toys.,because in all three toys if you pressed the button and pulled the handle it would make the music play and light come on.,no,32,f,english,252.615,19.127,3,no-social,both
26,performance,78,both,prior,0.333,light,safari,1175,600,1280,800,FALSE,how well i would remember which actions did what in the toys.,because in all three toys if you pressed the button and pulled the handle it would make the music play and light come on.,no,32,f,english,252.615,19.127,3,no-social,both
26,performance,81,button,prior,0.346,light,safari,1175,600,1280,800,FALSE,how well i would remember which actions did what in the toys.,because in all three toys if you pressed the button and pulled the handle it would make the music play and light come on.,no,32,f,english,252.615,19.127,3,no-social,both
27,nogoal,100,button,prior,0.493,music,chrome,1176,600,1366,768,FALSE,attention and reasoning.,i figured if nothing happens i can eliminate two options and depending on the if music or sound is produce i could find out the function.,none,29,f,english,255.517,34.153,3,social,handle
27,nogoal,93,handle,prior,0.458,music,chrome,1176,600,1366,768,FALSE,attention and reasoning.,i figured if nothing happens i can eliminate two options and depending on the if music or sound is produce i could find out the function.,none,29,f,english,255.517,34.153,3,social,handle
27,nogoal,10,both,prior,0.049,music,chrome,1176,600,1366,768,FALSE,attention and reasoning.,i figured if nothing happens i can eliminate two options and depending on the if music or sound is produce i could find out the function.,none,29,f,english,255.517,34.153,3,social,handle
28,presentation,34,button,prior,0.33,music,chrome,1299,600,1366,768,FALSE,not sure,because it should cause an effect in all 3 toys,no,29,f,english,156.608,13.004,3,social,both
28,presentation,34,handle,prior,0.33,music,chrome,1299,600,1366,768,FALSE,not sure,because it should cause an effect in all 3 toys,no,29,f,english,156.608,13.004,3,social,both
28,presentation,35,both,prior,0.34,music,chrome,1299,600,1366,768,FALSE,not sure,because it should cause an effect in all 3 toys,no,29,f,english,156.608,13.004,3,social,both
29,learning,72,both,prior,0.414,light,chrome,1155,561,1366,768,FALSE,unsure,i actually just made a guess.,none,52,female,english,271.414,53.947,3,no-social,both
29,learning,52,handle,prior,0.299,light,chrome,1155,561,1366,768,FALSE,unsure,i actually just made a guess.,none,52,female,english,271.414,53.947,3,no-social,both
29,learning,50,button,prior,0.287,light,chrome,1155,561,1366,768,FALSE,unsure,i actually just made a guess.,none,52,female,english,271.414,53.947,3,no-social,both
30,presentation,35,both,prior,0.213,light,chrome,1390,600,1440,900,FALSE,unsure,because it was more likely to work,no,29,f,english,122.818,16.184,3,social,both
30,presentation,68,handle,prior,0.415,light,chrome,1390,600,1440,900,FALSE,unsure,because it was more likely to work,no,29,f,english,122.818,16.184,3,social,both
30,presentation,61,button,prior,0.372,light,chrome,1390,600,1440,900,FALSE,unsure,because it was more likely to work,no,29,f,english,122.818,16.184,3,social,both
31,presentation,1,both,prior,0.333,music,chrome,1870,600,1920,1080,FALSE,my best guess is that this task is about how people learn actions with minimal instructions.,because i am a logical person.,no. no.,69,m,english,348.195,39.542,2,social,both
31,presentation,1,button,prior,0.333,music,chrome,1870,600,1920,1080,FALSE,my best guess is that this task is about how people learn actions with minimal instructions.,because i am a logical person.,no. no.,69,m,english,348.195,39.542,2,social,both
31,presentation,1,handle,prior,0.333,music,chrome,1870,600,1920,1080,FALSE,my best guess is that this task is about how people learn actions with minimal instructions.,because i am a logical person.,no. no.,69,m,english,348.195,39.542,2,social,both
32,presentation,43,button,prior,0.333,light,chrome,1299,637,1366,768,FALSE,one's perception of actions of a toy,this way there was no way that an action wouldn't work.,none,26,m,english,507.753,105.01,3,social,both
32,presentation,43,handle,prior,0.333,light,chrome,1299,637,1366,768,FALSE,one's perception of actions of a toy,this way there was no way that an action wouldn't work.,none,26,m,english,507.753,105.01,3,social,both
32,presentation,43,both,prior,0.333,light,chrome,1299,637,1366,768,FALSE,one's perception of actions of a toy,this way there was no way that an action wouldn't work.,none,26,m,english,507.753,105.01,3,social,both
33,nogoal,80,button,prior,0.457,music,firefox,1595,926,1680,1050,FALSE,i think this was about how people make choices and decisions.,i chose to pull the handle because i think that's what most people would do first.,interesting!,41,f,english,334.57,55.837,3,social,handle
33,nogoal,31,both,prior,0.177,music,firefox,1595,926,1680,1050,FALSE,i think this was about how people make choices and decisions.,i chose to pull the handle because i think that's what most people would do first.,interesting!,41,f,english,334.57,55.837,3,social,handle
33,nogoal,64,handle,prior,0.366,music,firefox,1595,926,1680,1050,FALSE,i think this was about how people make choices and decisions.,i chose to pull the handle because i think that's what most people would do first.,interesting!,41,f,english,334.57,55.837,3,social,handle
34,performance,32,button,prior,0.192,music,chrome,1870,600,1920,1080,FALSE,i think it was about how people comprehend instructions.,"i knew that all three toys would have both functions happen if i pressed the button and pulled the lever at once, but i couldn't guarantee anything would happen or the correct function would happen if i only used one of the lever or button.",no.,23,f,english,169.081,14.539,3,social,both
34,performance,35,handle,prior,0.21,music,chrome,1870,600,1920,1080,FALSE,i think it was about how people comprehend instructions.,"i knew that all three toys would have both functions happen if i pressed the button and pulled the lever at once, but i couldn't guarantee anything would happen or the correct function would happen if i only used one of the lever or button.",no.,23,f,english,169.081,14.539,3,social,both
34,performance,100,both,prior,0.599,music,chrome,1870,600,1920,1080,FALSE,i think it was about how people comprehend instructions.,"i knew that all three toys would have both functions happen if i pressed the button and pulled the lever at once, but i couldn't guarantee anything would happen or the correct function would happen if i only used one of the lever or button.",no.,23,f,english,169.081,14.539,3,social,both
35,presentation,15,button,prior,0.114,music,chrome,1293,600,1360,768,FALSE,strategy,it made sure that something would actually happen,no,25,f,english,168.38,32.252,3,social,both
35,presentation,25,both,prior,0.189,music,chrome,1293,600,1360,768,FALSE,strategy,it made sure that something would actually happen,no,25,f,english,168.38,32.252,3,social,both
35,presentation,92,handle,prior,0.697,music,chrome,1293,600,1360,768,FALSE,strategy,it made sure that something would actually happen,no,25,f,english,168.38,32.252,3,social,both
36,nogoal,59,handle,prior,0.578,light,chrome,1853,987,1920,1080,FALSE,associating labels,if you press one thing you can find out what it is based on what happens.,,21,m,english,192.149,55.499,2,social,button
36,nogoal,42,button,prior,0.412,light,chrome,1853,987,1920,1080,FALSE,associating labels,if you press one thing you can find out what it is based on what happens.,,21,m,english,192.149,55.499,2,social,button
36,nogoal,1,both,prior,0.01,light,chrome,1853,987,1920,1080,FALSE,associating labels,if you press one thing you can find out what it is based on what happens.,,21,m,english,192.149,55.499,2,social,button
37,nogoal,62,handle,prior,0.354,light,firefox,1870,600,1920,1080,FALSE,psychology,pressing mutiple buttons sometimes does mutiple things,,21,m,english,213.1,32.038,3,no-social,both
37,nogoal,58,both,prior,0.331,light,firefox,1870,600,1920,1080,FALSE,psychology,pressing mutiple buttons sometimes does mutiple things,,21,m,english,213.1,32.038,3,no-social,both
37,nogoal,55,button,prior,0.314,light,firefox,1870,600,1920,1080,FALSE,psychology,pressing mutiple buttons sometimes does mutiple things,,21,m,english,213.1,32.038,3,no-social,both
38,learning,18,handle,prior,0.4,music,chrome,1533,804,1600,900,FALSE,i think it was about product quality,"i chose it because if it has directions to make both the music and light work, then the person who has the toy would have common sense that pressing one without the other would make it work. ",fun study,24,f,english,207.626,20.034,3,no-social,both
38,learning,3,button,prior,0.067,music,chrome,1533,804,1600,900,FALSE,i think it was about product quality,"i chose it because if it has directions to make both the music and light work, then the person who has the toy would have common sense that pressing one without the other would make it work. ",fun study,24,f,english,207.626,20.034,3,no-social,both
38,learning,24,both,prior,0.533,music,chrome,1533,804,1600,900,FALSE,i think it was about product quality,"i chose it because if it has directions to make both the music and light work, then the person who has the toy would have common sense that pressing one without the other would make it work. ",fun study,24,f,english,207.626,20.034,3,no-social,both
39,presentation,65,handle,prior,0.325,light,chrome,1265,879,1366,768,FALSE,no idea,eeny meeny miney mo,no,54,f,english,168.692,22.369,3,social,handle
39,presentation,67,button,prior,0.335,light,chrome,1265,879,1366,768,FALSE,no idea,eeny meeny miney mo,no,54,f,english,168.692,22.369,3,social,handle
39,presentation,68,both,prior,0.34,light,chrome,1265,879,1366,768,FALSE,no idea,eeny meeny miney mo,no,54,f,english,168.692,22.369,3,social,handle
40,performance,50,handle,prior,0.338,light,firefox,1299,695,1366,768,FALSE,to see how a person follows and comprehends instructions,i simply went with my gutt instinct,simple study,34,m,english,253.791,25.463,3,no-social,both
40,performance,50,both,prior,0.338,light,firefox,1299,695,1366,768,FALSE,to see how a person follows and comprehends instructions,i simply went with my gutt instinct,simple study,34,m,english,253.791,25.463,3,no-social,both
40,performance,48,button,prior,0.324,light,firefox,1299,695,1366,768,FALSE,to see how a person follows and comprehends instructions,i simply went with my gutt instinct,simple study,34,m,english,253.791,25.463,3,no-social,both
41,nogoal,1,handle,prior,0.013,music,chrome,1197,871,1280,1024,FALSE,understanding reasons behind actions,based on the labels,none,27,male,cantonese,890.023,744.311,1,no-social,handle
41,nogoal,66,both,prior,0.846,music,chrome,1197,871,1280,1024,FALSE,understanding reasons behind actions,based on the labels,none,27,male,cantonese,890.023,744.311,1,no-social,handle
41,nogoal,11,button,prior,0.141,music,chrome,1197,871,1280,1024,FALSE,understanding reasons behind actions,based on the labels,none,27,male,cantonese,890.023,744.311,1,no-social,handle
42,nogoal,85,handle,prior,0.405,music,chrome,2510,600,2560,1600,FALSE,how we perceive certain actions as they relate to a toy. ,it just seemed the most natural to me. ,,31,m,english,230.926,40.201,3,social,both
42,nogoal,100,button,prior,0.476,music,chrome,2510,600,2560,1600,FALSE,how we perceive certain actions as they relate to a toy. ,it just seemed the most natural to me. ,,31,m,english,230.926,40.201,3,social,both
42,nogoal,25,both,prior,0.119,music,chrome,2510,600,2560,1600,FALSE,how we perceive certain actions as they relate to a toy. ,it just seemed the most natural to me. ,,31,m,english,230.926,40.201,3,social,both
43,learning,50,button,prior,0.278,music,chrome,1086,590,1152,720,FALSE,i'm unsure,it made sense to me,"no, nothing broken, but the music scared me :)",56,female,english,251.95,41.255,2,social,both
43,learning,50,handle,prior,0.278,music,chrome,1086,590,1152,720,FALSE,i'm unsure,it made sense to me,"no, nothing broken, but the music scared me :)",56,female,english,251.95,41.255,2,social,both
43,learning,80,both,prior,0.444,music,chrome,1086,590,1152,720,FALSE,i'm unsure,it made sense to me,"no, nothing broken, but the music scared me :)",56,female,english,251.95,41.255,2,social,both
44,performance,84,handle,prior,0.38,music,firefox,1211,1300,2560,1440,FALSE,no idea,it seemed to be the most logical choice overall,,30,male,english,283.736,13.538,3,social,handle
44,performance,68,both,prior,0.308,music,firefox,1211,1300,2560,1440,FALSE,no idea,it seemed to be the most logical choice overall,,30,male,english,283.736,13.538,3,social,handle
44,performance,69,button,prior,0.312,music,firefox,1211,1300,2560,1440,FALSE,no idea,it seemed to be the most logical choice overall,,30,male,english,283.736,13.538,3,social,handle
45,performance,16,both,prior,0.086,music,firefox,994,600,1920,1080,FALSE,intution,"doing both inputs guaranteed i could at least make the intended action happen, even if the other also happened.",,27,m,english,273.454,30.086,3,social,both
45,performance,84,handle,prior,0.452,music,firefox,994,600,1920,1080,FALSE,intution,"doing both inputs guaranteed i could at least make the intended action happen, even if the other also happened.",,27,m,english,273.454,30.086,3,social,both
45,performance,86,button,prior,0.462,music,firefox,994,600,1920,1080,FALSE,intution,"doing both inputs guaranteed i could at least make the intended action happen, even if the other also happened.",,27,m,english,273.454,30.086,3,social,both
46,presentation,13,both,prior,0.098,music,chrome,1219,633,1920,1080,FALSE,i dont know for sure,i felt like it would work,no,25,male,english,54.002,8.722,1,social,handle
46,presentation,77,handle,prior,0.583,music,chrome,1219,633,1920,1080,FALSE,i dont know for sure,i felt like it would work,no,25,male,english,54.002,8.722,1,social,handle
46,presentation,42,button,prior,0.318,music,chrome,1219,633,1920,1080,FALSE,i dont know for sure,i felt like it would work,no,25,male,english,54.002,8.722,1,social,handle
47,performance,65,both,prior,0.308,light,firefox,1303,600,1366,768,FALSE,to see how well i am paying attention,seemed like a good plan.,good luck with your research!,43,f,english,144.859,13.454,2,no-social,both
47,performance,77,button,prior,0.365,light,firefox,1303,600,1366,768,FALSE,to see how well i am paying attention,seemed like a good plan.,good luck with your research!,43,f,english,144.859,13.454,2,no-social,both
47,performance,69,handle,prior,0.327,light,firefox,1303,600,1366,768,FALSE,to see how well i am paying attention,seemed like a good plan.,good luck with your research!,43,f,english,144.859,13.454,2,no-social,both
48,learning,29,both,prior,0.2,light,chrome,1613,957,1680,1050,FALSE,guessing ,"seemed like a logical choice, although there was one other logical choice ",nope,68,m,english,260.199,41.542,3,no-social,button
48,learning,31,button,prior,0.214,light,chrome,1613,957,1680,1050,FALSE,guessing ,"seemed like a logical choice, although there was one other logical choice ",nope,68,m,english,260.199,41.542,3,no-social,button
48,learning,85,handle,prior,0.586,light,chrome,1613,957,1680,1050,FALSE,guessing ,"seemed like a logical choice, although there was one other logical choice ",nope,68,m,english,260.199,41.542,3,no-social,button
49,learning,1,button,prior,0.006,light,firefox,340,600,360,640,TRUE,guessing toy actions,because i thought it was the correct action,no,24,m,english ,266.635,31.677,3,no-social,handle
49,learning,100,handle,prior,0.641,light,firefox,340,600,360,640,TRUE,guessing toy actions,because i thought it was the correct action,no,24,m,english ,266.635,31.677,3,no-social,handle
49,learning,55,both,prior,0.353,light,firefox,340,600,360,640,TRUE,guessing toy actions,because i thought it was the correct action,no,24,m,english ,266.635,31.677,3,no-social,handle
50,learning,82,both,prior,0.732,music,chrome,1853,974,1920,1080,FALSE,to see how creative we are and how we problem solve?,"doing two things at once would be one action, so i chose that.","nope, thanks!",23,m,english,248.294,41.892,3,social,both
