id,condition,slider_value,hypothesis,hypothesis_type,slider_value_normalized,outcome,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,action_response
9,performance,1,both,prior,0.005,light,chrome,1657,600,1536,864,FALSE,"i have no earthly idea.  i mean, it's probably not to recruit engineers. if i really had to guess, i'd say it's so researchers can laugh at how stupid peons on this platform are.  the mockery is well-deserved. i'd electrocute myself with my toy.",my light and music came on! woohoo!,40,m,english,269.775,21.332,3,both
10,learning,70,handle,prior,0.44,light,chrome,1533,600,1600,900,FALSE,deducing what did what.,nothing.,35,m,english,136.148,19.796,3,handle
10,learning,15,both,prior,0.094,light,chrome,1533,600,1600,900,FALSE,deducing what did what.,nothing.,35,m,english,136.148,19.796,3,handle
10,learning,74,button,prior,0.465,light,chrome,1533,600,1600,900,FALSE,deducing what did what.,nothing.,35,m,english,136.148,19.796,3,handle
11,nogoal,63,handle,prior,0.31,music,chrome,959,624,1024,768,FALSE,i don't know?,no comments at the current time.,38,f,english,226.086,50.493,2,button
11,nogoal,78,both,prior,0.384,music,chrome,959,624,1024,768,FALSE,i don't know?,no comments at the current time.,38,f,english,226.086,50.493,2,button
11,nogoal,62,button,prior,0.305,music,chrome,959,624,1024,768,FALSE,i don't know?,no comments at the current time.,38,f,english,226.086,50.493,2,button
12,performance,6,handle,prior,0.034,light,chrome,1853,959,1920,1080,FALSE,memorization,none,32,m,english,277.494,49.629,3,button
12,performance,94,button,prior,0.525,light,chrome,1853,959,1920,1080,FALSE,memorization,none,32,m,english,277.494,49.629,3,button
12,performance,79,both,prior,0.441,light,chrome,1853,959,1920,1080,FALSE,memorization,none,32,m,english,277.494,49.629,3,button
13,presentation,29,button,prior,0.315,light,chrome,1299,675,1366,768,FALSE,i don't know.,,34,f,english,188.51,34.113,3,both
13,presentation,31,handle,prior,0.337,light,chrome,1299,675,1366,768,FALSE,i don't know.,,34,f,english,188.51,34.113,3,both
13,presentation,32,both,prior,0.348,light,chrome,1299,675,1366,768,FALSE,i don't know.,,34,f,english,188.51,34.113,3,both
14,performance,34,button,prior,0.327,music,chrome,1299,637,1366,768,FALSE,i'm not sure.,,32,f,english,134.427,29.082,3,both
14,performance,34,both,prior,0.327,music,chrome,1299,637,1366,768,FALSE,i'm not sure.,,32,f,english,134.427,29.082,3,both
14,performance,36,handle,prior,0.346,music,chrome,1299,637,1366,768,FALSE,i'm not sure.,,32,f,english,134.427,29.082,3,both
15,nogoal,45,both,prior,0.317,music,chrome,1244,600,1440,900,FALSE,to see how well we could learn how to operate a toy. ,no,59,f,english,373.351,33.447,2,both
15,nogoal,51,button,prior,0.359,music,chrome,1244,600,1440,900,FALSE,to see how well we could learn how to operate a toy. ,no,59,f,english,373.351,33.447,2,both
15,nogoal,46,handle,prior,0.324,music,chrome,1244,600,1440,900,FALSE,to see how well we could learn how to operate a toy. ,no,59,f,english,373.351,33.447,2,both
16,presentation,71,both,prior,0.413,music,chrome,1390,600,1440,900,FALSE,i am not really sure,no,38,,english,339.456,51.936,2,both
16,presentation,100,button,prior,0.581,music,chrome,1390,600,1440,900,FALSE,i am not really sure,no,38,,english,339.456,51.936,2,both
16,presentation,1,handle,prior,0.006,music,chrome,1390,600,1440,900,FALSE,i am not really sure,no,38,,english,339.456,51.936,2,both
17,learning,71,button,prior,0.563,music,chrome,1299,600,1366,768,FALSE,it ask opinions,need detailed information,25,female,english,1160.353,65.234,1,both
17,learning,18,both,prior,0.143,music,chrome,1299,600,1366,768,FALSE,it ask opinions,need detailed information,25,female,english,1160.353,65.234,1,both
17,learning,37,handle,prior,0.294,music,chrome,1299,600,1366,768,FALSE,it ask opinions,need detailed information,25,female,english,1160.353,65.234,1,both
18,learning,92,handle,prior,0.484,music,chrome,1638,844,1536,864,FALSE,how individual would choose to label a toy,"the first 2 questions asked how to make the components work individually, not at the same time.",37,f,english,241.667,29.013,2,both
18,learning,95,both,prior,0.5,music,chrome,1638,844,1536,864,FALSE,how individual would choose to label a toy,"the first 2 questions asked how to make the components work individually, not at the same time.",37,f,english,241.667,29.013,2,both
18,learning,3,button,prior,0.016,music,chrome,1638,844,1536,864,FALSE,how individual would choose to label a toy,"the first 2 questions asked how to make the components work individually, not at the same time.",37,f,english,241.667,29.013,2,both
19,learning,23,button,prior,0.15,light,chrome,1299,600,1366,768,FALSE,what you prefer the toy to do,"the wording was a little confusing, it said the label was missing the toy was likely or unlikely what? ", 39,f,english,319.82,30.305,3,both
19,learning,97,both,prior,0.634,light,chrome,1299,600,1366,768,FALSE,what you prefer the toy to do,"the wording was a little confusing, it said the label was missing the toy was likely or unlikely what? ", 39,f,english,319.82,30.305,3,both
19,learning,33,handle,prior,0.216,light,chrome,1299,600,1366,768,FALSE,what you prefer the toy to do,"the wording was a little confusing, it said the label was missing the toy was likely or unlikely what? ", 39,f,english,319.82,30.305,3,both
20,learning,72,handle,prior,0.444,light,chrome,1853,987,1920,1080,FALSE,to see how we solve problems,thanks,31,male,english,142.407,21.546,2,both
20,learning,17,both,prior,0.105,light,chrome,1853,987,1920,1080,FALSE,to see how we solve problems,thanks,31,male,english,142.407,21.546,2,both
20,learning,73,button,prior,0.451,light,chrome,1853,987,1920,1080,FALSE,to see how we solve problems,thanks,31,male,english,142.407,21.546,2,both
21,nogoal,81,button,prior,0.435,light,chrome,1183,600,1280,800,FALSE,this task was about teaching the participant how to work a toy one way and then switching it up another way to see if the participant will get accustomed to the change.,,33,f,english,615.506,104.724,3,button
21,nogoal,80,both,prior,0.43,light,chrome,1183,600,1280,800,FALSE,this task was about teaching the participant how to work a toy one way and then switching it up another way to see if the participant will get accustomed to the change.,,33,f,english,615.506,104.724,3,button
21,nogoal,25,handle,prior,0.134,light,chrome,1183,600,1280,800,FALSE,this task was about teaching the participant how to work a toy one way and then switching it up another way to see if the participant will get accustomed to the change.,,33,f,english,615.506,104.724,3,button
22,nogoal,27,both,prior,0.158,music,chrome,1176,602,1366,768,FALSE,not sure,none.,33,f,english,122.049,22.023,3,both
22,nogoal,91,button,prior,0.532,music,chrome,1176,602,1366,768,FALSE,not sure,none.,33,f,english,122.049,22.023,3,both
22,nogoal,53,handle,prior,0.31,music,chrome,1176,602,1366,768,FALSE,not sure,none.,33,f,english,122.049,22.023,3,both
23,nogoal,12,handle,prior,0.103,music,chrome,1167,647,1600,900,FALSE,i think it's about memory or maybe even attention span of very similar looking situations. i think it might also have something to do with checking which instructions one can remember in a series of events.,"when i was asked what i'd do if i only had one chance to play with the toy, i chose to pull the level and press the button at the same time. when that happened, the toy started playing music while lighting up. the screen suddenly went to the next part and i never got to see what was on the bottom half of the page.",35,m,filipino,454.165,52.077,3,both
23,nogoal,16,both,prior,0.137,music,chrome,1167,647,1600,900,FALSE,i think it's about memory or maybe even attention span of very similar looking situations. i think it might also have something to do with checking which instructions one can remember in a series of events.,"when i was asked what i'd do if i only had one chance to play with the toy, i chose to pull the level and press the button at the same time. when that happened, the toy started playing music while lighting up. the screen suddenly went to the next part and i never got to see what was on the bottom half of the page.",35,m,filipino,454.165,52.077,3,both
23,nogoal,89,button,prior,0.761,music,chrome,1167,647,1600,900,FALSE,i think it's about memory or maybe even attention span of very similar looking situations. i think it might also have something to do with checking which instructions one can remember in a series of events.,"when i was asked what i'd do if i only had one chance to play with the toy, i chose to pull the level and press the button at the same time. when that happened, the toy started playing music while lighting up. the screen suddenly went to the next part and i never got to see what was on the bottom half of the page.",35,m,filipino,454.165,52.077,3,both
24,performance,83,handle,prior,0.43,music,chrome,1299,600,1366,768,FALSE,unsure,none,24,f,english,138.492,15.378,2,both
24,performance,83,both,prior,0.43,music,chrome,1299,600,1366,768,FALSE,unsure,none,24,f,english,138.492,15.378,2,both
24,performance,27,button,prior,0.14,music,chrome,1299,600,1366,768,FALSE,unsure,none,24,f,english,138.492,15.378,2,both
25,learning,18,handle,prior,0.151,light,chrome,957,600,1024,768,FALSE,no idea. following instructions?,no comment. everything worked perfectly. thank you.,31,m,english,208.277,42.944,3,button
25,learning,1,both,prior,0.008,light,chrome,957,600,1024,768,FALSE,no idea. following instructions?,no comment. everything worked perfectly. thank you.,31,m,english,208.277,42.944,3,button
25,learning,100,button,prior,0.84,light,chrome,957,600,1024,768,FALSE,no idea. following instructions?,no comment. everything worked perfectly. thank you.,31,m,english,208.277,42.944,3,button
26,nogoal,30,handle,prior,0.254,music,chrome,696,730,1440,900,FALSE,not sure,nothing broken.  i think i chose the wrong selections for box #2 originally.  oops!,45,f,english,242.098,55.391,3,handle
26,nogoal,61,both,prior,0.517,music,chrome,696,730,1440,900,FALSE,not sure,nothing broken.  i think i chose the wrong selections for box #2 originally.  oops!,45,f,english,242.098,55.391,3,handle
26,nogoal,27,button,prior,0.229,music,chrome,696,730,1440,900,FALSE,not sure,nothing broken.  i think i chose the wrong selections for box #2 originally.  oops!,45,f,english,242.098,55.391,3,handle
27,learning,26,button,prior,0.197,light,chrome,1389,699,1600,900,FALSE,to examine how people come to make decisions based on logic and reasoning.,everything was clear and easy to understand.,26,m,english,327.031,47.126,3,button
27,learning,26,handle,prior,0.197,light,chrome,1389,699,1600,900,FALSE,to examine how people come to make decisions based on logic and reasoning.,everything was clear and easy to understand.,26,m,english,327.031,47.126,3,button
27,learning,80,both,prior,0.606,light,chrome,1389,699,1600,900,FALSE,to examine how people come to make decisions based on logic and reasoning.,everything was clear and easy to understand.,26,m,english,327.031,47.126,3,button
28,learning,37,button,prior,0.316,light,chrome,1299,600,1366,768,FALSE,efficient decision making,none,46,f,english,279.239,68.786,3,handle
28,learning,39,both,prior,0.333,light,chrome,1299,600,1366,768,FALSE,efficient decision making,none,46,f,english,279.239,68.786,3,handle
28,learning,41,handle,prior,0.35,light,chrome,1299,600,1366,768,FALSE,efficient decision making,none,46,f,english,279.239,68.786,3,handle
29,learning,100,button,prior,0.339,music,chrome,340,600,360,640,TRUE,see how people think and problem solve,no,34,male,english,250.86,38.169,3,both
29,learning,95,both,prior,0.322,music,chrome,340,600,360,640,TRUE,see how people think and problem solve,no,34,male,english,250.86,38.169,3,both
29,learning,100,handle,prior,0.339,music,chrome,340,600,360,640,TRUE,see how people think and problem solve,no,34,male,english,250.86,38.169,3,both
30,nogoal,19,button,prior,0.178,music,chrome,1244,600,1440,900,FALSE,critical thinking?,this was a very odd task,32,f,english,235.601,18.864,3,both
30,nogoal,22,handle,prior,0.206,music,chrome,1244,600,1440,900,FALSE,critical thinking?,this was a very odd task,32,f,english,235.601,18.864,3,both
30,nogoal,66,both,prior,0.617,music,chrome,1244,600,1440,900,FALSE,critical thinking?,this was a very odd task,32,f,english,235.601,18.864,3,both
31,presentation,84,button,prior,0.512,music,chrome,1544,1184,2560,1080,FALSE,decision making,none,27,m,english,110.568,3.277,3,handle
31,presentation,15,both,prior,0.091,music,chrome,1544,1184,2560,1080,FALSE,decision making,none,27,m,english,110.568,3.277,3,handle
31,presentation,65,handle,prior,0.396,music,chrome,1544,1184,2560,1080,FALSE,decision making,none,27,m,english,110.568,3.277,3,handle
32,learning,4,both,prior,0.038,light,chrome,1853,974,1920,1080,FALSE,maybe to see what method we naturally resort to when thinking about it?,,34,m,english,225.506,42.361,3,handle
32,learning,15,handle,prior,0.143,light,chrome,1853,974,1920,1080,FALSE,maybe to see what method we naturally resort to when thinking about it?,,34,m,english,225.506,42.361,3,handle
32,learning,86,button,prior,0.819,light,chrome,1853,974,1920,1080,FALSE,maybe to see what method we naturally resort to when thinking about it?,,34,m,english,225.506,42.361,3,handle
33,learning,31,handle,prior,0.32,light,chrome,2061,969,1600,900,FALSE,probability and reasoning,"no, all good.",46,m,english,296.159,48.487,3,button
33,learning,32,button,prior,0.33,light,chrome,2061,969,1600,900,FALSE,probability and reasoning,"no, all good.",46,m,english,296.159,48.487,3,button
33,learning,34,both,prior,0.351,light,chrome,2061,969,1600,900,FALSE,probability and reasoning,"no, all good.",46,m,english,296.159,48.487,3,button
34,presentation,58,button,prior,0.319,light,chrome,1176,602,1366,768,FALSE,toys,,33,f,english,120.542,10.262,1,button
34,presentation,60,handle,prior,0.33,light,chrome,1176,602,1366,768,FALSE,toys,,33,f,english,120.542,10.262,1,button
34,presentation,64,both,prior,0.352,light,chrome,1176,602,1366,768,FALSE,toys,,33,f,english,120.542,10.262,1,button
35,performance,67,both,prior,0.328,music,chrome,1299,613,1366,768,FALSE,calculating user probability (or lack of knowledge pertaining to probability),interesting task!,32,female,english,276.744,27.72,3,both
35,performance,68,handle,prior,0.333,music,chrome,1299,613,1366,768,FALSE,calculating user probability (or lack of knowledge pertaining to probability),interesting task!,32,female,english,276.744,27.72,3,both
35,performance,69,button,prior,0.338,music,chrome,1299,613,1366,768,FALSE,calculating user probability (or lack of knowledge pertaining to probability),interesting task!,32,female,english,276.744,27.72,3,both
36,performance,91,both,prior,0.595,music,chrome,1534,765,1600,900,FALSE,seeing if you pay attention to complex instructions.,none thanks.,24, m,english,119.913,16.764,3,both
36,performance,25,button,prior,0.163,music,chrome,1534,765,1600,900,FALSE,seeing if you pay attention to complex instructions.,none thanks.,24, m,english,119.913,16.764,3,both
36,performance,37,handle,prior,0.242,music,chrome,1534,765,1600,900,FALSE,seeing if you pay attention to complex instructions.,none thanks.,24, m,english,119.913,16.764,3,both
37,performance,28,both,prior,0.155,music,chrome,1470,759,1536,864,FALSE,to see if i could understand and follow instructions? ideas on how to design a toy?,no. im not sure.,44,f,english,363.517,37.478,3,button
37,performance,76,handle,prior,0.42,music,chrome,1470,759,1536,864,FALSE,to see if i could understand and follow instructions? ideas on how to design a toy?,no. im not sure.,44,f,english,363.517,37.478,3,button
37,performance,77,button,prior,0.425,music,chrome,1470,759,1536,864,FALSE,to see if i could understand and follow instructions? ideas on how to design a toy?,no. im not sure.,44,f,english,363.517,37.478,3,button
38,nogoal,49,button,prior,0.327,music,chrome,1853,988,1920,1080,FALSE,no idea,,45,m,english,183.725,22.056,3,both
38,nogoal,50,both,prior,0.333,music,chrome,1853,988,1920,1080,FALSE,no idea,,45,m,english,183.725,22.056,3,both
38,nogoal,51,handle,prior,0.34,music,chrome,1853,988,1920,1080,FALSE,no idea,,45,m,english,183.725,22.056,3,both
39,learning,61,handle,prior,0.347,music,chrome,1449,736,1366,768,FALSE,logical thinking (i failed),i'd like to know the correct answer!,31,female,english,335.682,150.336,3,both
39,learning,26,both,prior,0.148,music,chrome,1449,736,1366,768,FALSE,logical thinking (i failed),i'd like to know the correct answer!,31,female,english,335.682,150.336,3,both
39,learning,89,button,prior,0.506,music,chrome,1449,736,1366,768,FALSE,logical thinking (i failed),i'd like to know the correct answer!,31,female,english,335.682,150.336,3,both
40,learning,76,handle,prior,0.444,light,chrome,1316,600,1366,768,FALSE,i have no idea.,,38,f,english,222.039,43.008,2,button
40,learning,24,button,prior,0.14,light,chrome,1316,600,1366,768,FALSE,i have no idea.,,38,f,english,222.039,43.008,2,button
40,learning,71,both,prior,0.415,light,chrome,1316,600,1366,768,FALSE,i have no idea.,,38,f,english,222.039,43.008,2,button
41,nogoal,66,handle,prior,0.4,light,chrome,1230,600,1280,800,FALSE,how people figure things out,it was a little confusing,28,f,english,241.345,52.511,3,both
41,nogoal,39,both,prior,0.236,light,chrome,1230,600,1280,800,FALSE,how people figure things out,it was a little confusing,28,f,english,241.345,52.511,3,both
41,nogoal,60,button,prior,0.364,light,chrome,1230,600,1280,800,FALSE,how people figure things out,it was a little confusing,28,f,english,241.345,52.511,3,both
42,learning,50,button,prior,0.37,music,safari,508,600,320,568,TRUE,cognitive ability?,thanks so much.,29,m,english,285.868,46.405,3,both
42,learning,8,both,prior,0.059,music,safari,508,600,320,568,TRUE,cognitive ability?,thanks so much.,29,m,english,285.868,46.405,3,both
42,learning,77,handle,prior,0.57,music,safari,508,600,320,568,TRUE,cognitive ability?,thanks so much.,29,m,english,285.868,46.405,3,both
43,performance,73,handle,prior,0.338,light,chrome,1176,579,1366,768,FALSE,cognitive decision making,nope,35,female,english,141.373,26.719,2,both
43,performance,72,both,prior,0.333,light,chrome,1176,579,1366,768,FALSE,cognitive decision making,nope,35,female,english,141.373,26.719,2,both
43,performance,71,button,prior,0.329,light,chrome,1176,579,1366,768,FALSE,cognitive decision making,nope,35,female,english,141.373,26.719,2,both
44,learning,7,handle,prior,0.057,music,chrome,1853,974,1920,1080,FALSE,how language effects our logic skills.,,33,m,english,252.617,62.956,2,handle
44,learning,71,both,prior,0.582,music,chrome,1853,974,1920,1080,FALSE,how language effects our logic skills.,,33,m,english,252.617,62.956,2,handle
44,learning,44,button,prior,0.361,music,chrome,1853,974,1920,1080,FALSE,how language effects our logic skills.,,33,m,english,252.617,62.956,2,handle
45,nogoal,65,both,prior,0.399,music,chrome,1299,600,1366,768,FALSE,no clue,no,31,m,english,137.683,13.743,1,handle
45,nogoal,49,button,prior,0.301,music,chrome,1299,600,1366,768,FALSE,no clue,no,31,m,english,137.683,13.743,1,handle
45,nogoal,49,handle,prior,0.301,music,chrome,1299,600,1366,768,FALSE,no clue,no,31,m,english,137.683,13.743,1,handle
46,nogoal,29,button,prior,0.312,music,chrome,1035,600,1920,1200,FALSE,logic,none,50,m,english,250.985,42.232,3,both
46,nogoal,31,handle,prior,0.333,music,chrome,1035,600,1920,1200,FALSE,logic,none,50,m,english,250.985,42.232,3,both
46,nogoal,33,both,prior,0.355,music,chrome,1035,600,1920,1200,FALSE,logic,none,50,m,english,250.985,42.232,3,both
47,nogoal,32,button,prior,0.333,light,chrome,1230,600,1280,1024,FALSE,i don't know,none,28,m,english,149.83,54.6,3,handle
47,nogoal,32,handle,prior,0.333,light,chrome,1230,600,1280,1024,FALSE,i don't know,none,28,m,english,149.83,54.6,3,handle
47,nogoal,32,both,prior,0.333,light,chrome,1230,600,1280,1024,FALSE,i don't know,none,28,m,english,149.83,54.6,3,handle
48,performance,25,handle,prior,0.231,light,chrome,1299,600,1366,768,FALSE,to assess logic in learning.,"the time that goes by when the music plays, i could not thoroughly read that page before it auto advanced.",26,m,english,356.32,23.817,3,both
48,performance,62,both,prior,0.574,light,chrome,1299,600,1366,768,FALSE,to assess logic in learning.,"the time that goes by when the music plays, i could not thoroughly read that page before it auto advanced.",26,m,english,356.32,23.817,3,both
48,performance,21,button,prior,0.194,light,chrome,1299,600,1366,768,FALSE,to assess logic in learning.,"the time that goes by when the music plays, i could not thoroughly read that page before it auto advanced.",26,m,english,356.32,23.817,3,both
49,nogoal,80,both,prior,0.305,light,chrome,1380,640,1600,900,FALSE,memory/recall,,47,female,english,174.426,45.547,3,handle
49,nogoal,82,button,prior,0.313,light,chrome,1380,640,1600,900,FALSE,memory/recall,,47,female,english,174.426,45.547,3,handle
49,nogoal,100,handle,prior,0.382,light,chrome,1380,640,1600,900,FALSE,memory/recall,,47,female,english,174.426,45.547,3,handle
50,learning,18,both,prior,0.106,music,chrome,1332,703,1536,864,FALSE,making a decision to figure out an unknown.,not at this time,37,m,english,278.912,37.473,3,button
50,learning,75,handle,prior,0.441,music,chrome,1332,703,1536,864,FALSE,making a decision to figure out an unknown.,not at this time,37,m,english,278.912,37.473,3,button
50,learning,77,button,prior,0.453,music,chrome,1332,703,1536,864,FALSE,making a decision to figure out an unknown.,not at this time,37,m,english,278.912,37.473,3,button
51,nogoal,20,both,prior,0.137,music,chrome,1401,600,2560,1440,FALSE,not sure,no,33,m,english,144.961,55.351,3,both
51,nogoal,69,handle,prior,0.473,music,chrome,1401,600,2560,1440,FALSE,not sure,no,33,m,english,144.961,55.351,3,both
51,nogoal,57,button,prior,0.39,music,chrome,1401,600,2560,1440,FALSE,not sure,no,33,m,english,144.961,55.351,3,both
52,performance,50,handle,prior,0.331,music,chrome,892,600,1360,768,FALSE,not sure,each of 3 possibilities had the same probability so i tried to mark them the same likelihood ,50,m,english,285.383,29.797,3,both
52,performance,51,both,prior,0.338,music,chrome,892,600,1360,768,FALSE,not sure,each of 3 possibilities had the same probability so i tried to mark them the same likelihood ,50,m,english,285.383,29.797,3,both
52,performance,50,button,prior,0.331,music,chrome,892,600,1360,768,FALSE,not sure,each of 3 possibilities had the same probability so i tried to mark them the same likelihood ,50,m,english,285.383,29.797,3,both
53,performance,9,both,prior,0.088,light,chrome,1853,974,1920,1080,FALSE,unsure,no,39,f,english,263.592,30.753,3,both
53,performance,92,button,prior,0.902,light,chrome,1853,974,1920,1080,FALSE,unsure,no,39,f,english,263.592,30.753,3,both
53,performance,1,handle,prior,0.01,light,chrome,1853,974,1920,1080,FALSE,unsure,no,39,f,english,263.592,30.753,3,both
54,presentation,65,handle,prior,0.414,light,chrome,1098,812,1280,1024,FALSE,i have no idea. would we pick the unlikely but creative toy,no it was fun thanks,36,f,english,291.115,65.013,3,both
54,presentation,1,both,prior,0.006,light,chrome,1098,812,1280,1024,FALSE,i have no idea. would we pick the unlikely but creative toy,no it was fun thanks,36,f,english,291.115,65.013,3,both
54,presentation,91,button,prior,0.58,light,chrome,1098,812,1280,1024,FALSE,i have no idea. would we pick the unlikely but creative toy,no it was fun thanks,36,f,english,291.115,65.013,3,both
55,presentation,69,both,prior,0.416,music,chrome,1299,600,1366,768,FALSE,toy function,no,34,m,english,117.295,12.006,3,both
55,presentation,64,handle,prior,0.386,music,chrome,1299,600,1366,768,FALSE,toy function,no,34,m,english,117.295,12.006,3,both
55,presentation,33,button,prior,0.199,music,chrome,1299,600,1366,768,FALSE,toy function,no,34,m,english,117.295,12.006,3,both
56,performance,71,button,prior,0.317,light,chrome,1230,600,1280,800,FALSE,memory,no,26,f,english,133.192,13.82,3,both
56,performance,77,handle,prior,0.344,light,chrome,1230,600,1280,800,FALSE,memory,no,26,f,english,133.192,13.82,3,both
56,performance,76,both,prior,0.339,light,chrome,1230,600,1280,800,FALSE,memory,no,26,f,english,133.192,13.82,3,both
57,presentation,78,handle,prior,0.411,music,chrome,642,561,1280,800,FALSE,i don't know.,no., 45,f,english,178.278,19.685,3,both
57,presentation,79,button,prior,0.416,music,chrome,642,561,1280,800,FALSE,i don't know.,no., 45,f,english,178.278,19.685,3,both
57,presentation,33,both,prior,0.174,music,chrome,642,561,1280,800,FALSE,i don't know.,no., 45,f,english,178.278,19.685,3,both
58,performance,38,both,prior,0.328,light,chrome,1301,702,1366,768,FALSE,logic,no,55,male,english,219.176,30.793,3,both
58,performance,39,handle,prior,0.336,light,chrome,1301,702,1366,768,FALSE,logic,no,55,male,english,219.176,30.793,3,both
58,performance,39,button,prior,0.336,light,chrome,1301,702,1366,768,FALSE,logic,no,55,male,english,219.176,30.793,3,both
59,performance,83,handle,prior,0.344,light,chrome,1213,918,1280,1024,FALSE,about the toy actions,great,24,m,english ,131.119,8.426,1,both
59,performance,83,button,prior,0.344,light,chrome,1213,918,1280,1024,FALSE,about the toy actions,great,24,m,english ,131.119,8.426,1,both
59,performance,75,both,prior,0.311,light,chrome,1213,918,1280,1024,FALSE,about the toy actions,great,24,m,english ,131.119,8.426,1,both
60,performance,27,button,prior,0.325,light,chrome,1026,600,1360,768,FALSE,i think it was about using logic in decision making. ,i did not encounter any problems. i thing the interface was functional and pleasant.,46,m,english,378.695,37.824,3,both
60,performance,27,handle,prior,0.325,light,chrome,1026,600,1360,768,FALSE,i think it was about using logic in decision making. ,i did not encounter any problems. i thing the interface was functional and pleasant.,46,m,english,378.695,37.824,3,both
60,performance,29,both,prior,0.349,light,chrome,1026,600,1360,768,FALSE,i think it was about using logic in decision making. ,i did not encounter any problems. i thing the interface was functional and pleasant.,46,m,english,378.695,37.824,3,both
